provinceId,code,name
11,889,باخرز
11,885,بجستان
11,878,بردسکن
11,899,بینالود
11,860,تایباد
11,851,تربت جام
11,394,تربت حیدریه
11,882,جغتای
11,883,جوین
11,870,چناران
11,884,خلیل آباد
11,871,خواف 
11,909,خوشاب
11,492,داورزن
11,856,درگز
11,879,دولت آباد
11,881,رشتخوار
11,918,زاوه
11,149,زبرخان
11,484,سبزوار
11,873,سرخس 
11,891,سلطان آباد
11,886,شاندیز
11,150,ششتمد
11,147,صالح آباد
11,874,فریمان
11,888,فیروزه
11,880,فیض آباد
11,594,قوچان
11,151,گلبهار
11,854,گناباد
11,850,مشهد
11,792,مه ولات
11,704,نیشابور
11,855,کاشمر
11,887,کلات
11,148,کوهسرخ

		
