provinceId,code,name
17,274,آباده
17,275,ارسنجان
17,729,استهبان
17,319,اشکنان
17,721,اقلید
17,127,اوز
17,161,بختگان
17,276,بوانات
17,133,بیضاء
17,900,پاسارگاد
17,404,جهرم
17,277,حاجی آباد - فارس
17,740,خرامه
17,908,خرم بید
17,162,خفر
17,298,خنج
17,722,داراب 
17,915,رستم
17,724,زرقان
17,919,زرین دشت
17,781,سپیدان
17,719,سپیدان (اَردکان)
17,163,سرچهان
17,278,سروستان
17,273,سعادت شهر
17,720,شیراز
17,777,صفاشهر
17,279,فراشبند
17,554,فسا
17,727,فیروزآباد
17,299,قیر و كارزین
17,775,كوار
17,776,گراش
17,726,لارستان
17,718,لامرد
17,723,مرودشت 
17,320,مصیری
17,725,ممسنی
17,272,مهر
17,728,نی ریز
17,604,کازرون
17,160,کوه چنار

		
