code,name
04,"آذربايجان شرقي"
05,"آذربايجان غربي"
25,"اردبيل"
11,"اصفهان"
32,"البرز"
23,"ايلام"
16,"بوشهر"
24,"تهران"
20,"چهارمحال و بختياري"
31,"خراسان جنوبي"
30,"خراسان رضوي"
29,"خراسان شمالي"
07,"خوزستان"
19,"زنجان"
21,"سمنان"
12,"سيستان و بلوچستان"
08,"فارس"
28,"قزوين"
26,"قم"
13,"كردستان"
09,"كرمان"
06,"كرمانشاه"
22,"كهكيلويه و بويراحمد"
27,"گلستان"
02,"گيلان"
15,"لرستان"
03,"مازندران"
01,"مركزي"
17,"هرمزگان"
14,"همدان"
18,"يزد"
